key,section,hu_text,de_text,de_status
tavfelugyelet-vonuloszolgalat:PILOT_HU.longDesc.body.0,body.1,"Az Avenir az egyeztetett távfelügyeleti beállítás szerint fogadja a csatlakoztatott helyszínekről érkező riasztási, behatolásjelzési és kamerához kapcsolódó jelzéseket. A jelzések az előre rögzített verifikációs protokoll szerint kerülnek ellenőrzésre az eszkaláció előtt. A téves jelzések naplózhatók és elemezhetők; a valós események a helyszíni protokoll szerint a kijelölt kapcsolattartóhoz, vonulószolgálathoz vagy külső eszkalációs útvonalhoz kerülnek. Az intézkedések eseménynaplóban rögzülnek.","Avenir nimmt die Alarm-, Einbruch- und kamerabezogenen Meldungen der aufgeschalteten Standorte gemäß der vereinbarten Aufschaltungskonfiguration entgegen. Die Meldungen werden vor der Eskalation nach dem vorab festgelegten Verifikationsprotokoll geprüft. Fehlalarme können protokolliert und ausgewertet werden; reale Ereignisse werden nach dem Standortprotokoll an den benannten Ansprechpartner, den Interventionsdienst oder den externen Eskalationsweg weitergeleitet. Die Maßnahmen werden im Ereignisprotokoll festgehalten.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.longDesc.body.1,body.2,"Ha a szolgáltatás távfelügyeleti jelzéskezelést tartalmaz, a verifikációs lépés a működési eljárás része, és eseményenként dokumentálásra kerül. A távfelügyelet és a vonulószolgálat jogi és szerződéses keretei az előkészítés során kerülnek egyeztetésre; a külső eszkaláció az egyeztetett helyszíni protokoll és az alkalmazandó szabályok szerint történik.","Umfasst die Leistung die Meldungsbearbeitung der Fernüberwachung, ist der Verifikationsschritt Teil des Betriebsverfahrens und wird je Ereignis dokumentiert. Die rechtlichen und vertraglichen Rahmenbedingungen der Fernüberwachung und des Interventionsdienstes werden in der Vorbereitungsphase abgestimmt; die externe Eskalation erfolgt nach dem vereinbarten Standortprotokoll und den anwendbaren Vorschriften.",legal_review_required
tavfelugyelet-vonuloszolgalat:PILOT_HU.longDesc.body.2,body.3,"A távfelügyelet akkor működik jól, ha kapcsolódik a helyszín többi biztonsági rétegéhez: a biztonságtechnikához, az élőerős őrzéshez, a portaszolgálathoz és az egyeztetett reagálási folyamathoz. Így a jelzéskezelés, az eszkaláció, az eseménynaplózás és a lezárás egy működési modellbe rendeződik.","Die Fernüberwachung funktioniert dann gut, wenn sie mit den übrigen Sicherheitsebenen des Standorts verbunden ist: mit der Sicherheitstechnik, dem Objektschutz, dem Pförtnerdienst und dem abgestimmten Reaktionsprozess. So fügen sich Meldungsbearbeitung, Eskalation, Ereignisprotokollierung und Abschluss zu einem Betriebsmodell zusammen.",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.useCasesEyebrow,useCases.eyebrow,KINEK AJÁNLJUK,EMPFOHLEN FÜR,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.useCasesTitle,useCases.title,Kinek jó,Für wen geeignet,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.useCases.0,useCases.0,"Ipari és logisztikai helyszínek behatolásjelzési, riasztási vagy peremvédelmi jelzésekkel","Industrie- und Logistikstandorte mit Einbruch-, Alarm- oder Perimeterschutz-Meldungen",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.useCases.1,useCases.1,"Irodaházak, raktárak és üzleti központok kamerával felügyelt zónákkal","Bürogebäude, Lager und Businesscenter mit kameraüberwachten Zonen",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.useCases.2,useCases.2,"Beléptetéssel vagy behatolásjelzéssel működő helyszínek, ahol 24/7 jelzéskezelés szükséges","Standorte mit Zutrittskontrolle oder Einbruchmeldung, an denen eine 24/7-Meldungsbearbeitung erforderlich ist",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.useCases.3,useCases.3,Több bérlős vagy több helyszínes működés dokumentált eszkalációs lánccal,Betrieb mit mehreren Mietern oder Standorten und dokumentierter Eskalationskette,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.useCases.4,useCases.4,"Meglévő távfelügyeleti vagy vonulószolgálati folyamatok felülvizsgálata verifikációs, reagálási vagy riportálási hiányosságok miatt","Überprüfung bestehender Fernüberwachungs- oder Interventionsprozesse wegen Lücken bei Verifikation, Reaktion oder Berichtswesen",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.includedEyebrow,included.eyebrow,TARTALOM,LEISTUNGSUMFANG,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.includedTitle,included.title,Mit tartalmaz,Was enthalten ist,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.0,includedItems.0,24/7 riasztási és kamerajelzések fogadása az egyeztetett távfelügyeleti beállítás szerint,24/7-Entgegennahme von Alarm- und Kamerameldungen gemäß der vereinbarten Aufschaltungskonfiguration,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.1,includedItems.1,"Verifikált riasztási protokoll, eseményenként dokumentált ellenőrzési lépéssel",Verifiziertes Alarmprotokoll mit je Ereignis dokumentiertem Prüfschritt,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.2,includedItems.2,"Név szerinti kapcsolattartási lánc, eszkalációs mátrix és értesítési szabályok","Namentliche Kontaktkette, Eskalationsmatrix und Benachrichtigungsregeln",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.3,includedItems.3,Saját vonulószolgálati folyamat egyeztetett szerződéses feltételek szerint,Eigener Interventionsdienst nach vereinbarten Vertragsbedingungen,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.4,includedItems.4,Időbélyegzett eseménynapló és eseményriport,Ereignisprotokoll mit Zeitstempel und Ereignisbericht,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.includedItems.5,includedItems.5,"Kapcsolódás a helyszín biztonságtechnikájához, élőerős őrzéséhez és portaszolgálatához","Anbindung an Sicherheitstechnik, Objektschutz und Pförtnerdienst des Standorts",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.processEyebrow,process.eyebrow,FOLYAMAT,ABLAUF,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.processTitle,process.title,Hogyan indul az együttműködés,So startet die Zusammenarbeit,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.0.title,processSteps.0.title,Helyszíni és technikai adottságok áttekintése,Überblick über Standort und technische Gegebenheiten,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.0.body,processSteps.0.body,"Áttekintjük a riasztási pontokat, jelzésforrásokat, technikai adottságokat és a helyszín őrzési vagy portaszolgálati működését.","Wir prüfen die Alarmpunkte, Meldungsquellen, technischen Gegebenheiten sowie den Objektschutz- oder Pförtnerbetrieb des Standorts.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.1.title,processSteps.1.title,Jelzésforrások és verifikációs pontok feltérképezése,Erfassung von Meldungsquellen und Verifikationspunkten,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.1.body,processSteps.1.body,"Meghatározzuk, milyen jelzések keletkezhetnek, milyen forrásból érkeznek, milyen ellenőrzési pontok kapcsolódnak hozzájuk, és hogyan kell dokumentálni a verifikációt.","Wir bestimmen, welche Meldungen entstehen können, aus welchen Quellen sie kommen, welche Prüfpunkte dazugehören und wie die Verifikation zu dokumentieren ist.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.2.title,processSteps.2.title,Kapcsolattartási lánc és eszkalációs mátrix kialakítása,Gestaltung der Kontaktkette und Eskalationsmatrix,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.2.body,processSteps.2.body,"Rögzítjük, milyen esemény esetén kit kell értesíteni, milyen sorrendben történjen az eszkaláció, és milyen esemény indít vonulószolgálati vagy külső reagálási folyamatot.","Wir legen fest, wer bei welchem Ereignis zu benachrichtigen ist, in welcher Reihenfolge eskaliert wird und welches Ereignis einen Interventions- oder externen Reaktionsprozess auslöst.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.3.title,processSteps.3.title,Vonulószolgálati működés egyeztetett feltételek szerint,Interventionsdienst nach vereinbarten Bedingungen,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.3.body,processSteps.3.body,"A helyszíni reagálási folyamatot a technikai adottságokhoz, a szolgáltatási területhez és a szerződéses feltételekhez igazítjuk.","Den Reaktionsprozess vor Ort stimmen wir auf die technischen Gegebenheiten, das Einsatzgebiet und die vertraglichen Bedingungen ab.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.4.title,processSteps.4.title,Eseménynaplózási és riportálási szabályok,Regeln für Ereignisprotokollierung und Berichtswesen,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.4.body,processSteps.4.body,"Meghatározzuk, mit kell naplózni, milyen riport készüljön, milyen lezárási státuszok használhatók, és hogyan legyen visszakereshető az eseménykezelés.","Wir definieren, was zu protokollieren ist, welcher Bericht erstellt wird, welche Abschlussstatus verwendet werden und wie die Ereignisbearbeitung rückverfolgbar bleibt.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.5.title,processSteps.5.title,"Indítás, működéskövetés és finomhangolás","Start, Betriebsbegleitung und Feinjustierung",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.processSteps.5.body,processSteps.5.body,"Az indulás után a visszatérő jelzéseket, tapasztalatokat és riportokat egyeztetjük, majd szükség szerint pontosítjuk a folyamatot.","Nach dem Start stimmen wir wiederkehrende Meldungen, Erfahrungen und Berichte ab und präzisieren den Prozess bei Bedarf.",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.trustEyebrow,trust.eyebrow,MIÉRT BÍZHAT BENNÜNK,WARUM SIE UNS VERTRAUEN KÖNNEN,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.trustTitle,trust.title,Bizalmi elemek,Vertrauenselemente,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.0.title,trustItems.0.title,24/7 jelzésfogadás verifikált eszkalációval,24/7-Meldungsempfang mit verifizierter Eskalation,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.0.body,trustItems.0.body,"Az Avenir 24/7 jelzésfogadást biztosít a csatlakoztatott helyszínekhez, a riasztások pedig az egyeztetett verifikációs protokoll szerint kerülnek ellenőrzésre az eszkaláció előtt.",Avenir stellt für die aufgeschalteten Standorte einen 24/7-Meldungsempfang sicher; die Alarme werden vor der Eskalation nach dem vereinbarten Verifikationsprotokoll geprüft.,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.1.title,trustItems.1.title,Dokumentált riasztás-verifikációs napló,Dokumentiertes Alarmverifikationsprotokoll,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.1.body,trustItems.1.body,"Minden jelzés, ellenőrzési lépés és eszkalációs döntés eseménynaplóban rögzül, amely a szolgáltatási megállapodás szerint visszakereshető.","Jede Meldung, jeder Prüfschritt und jede Eskalationsentscheidung wird im Ereignisprotokoll festgehalten, das gemäß der Servicevereinbarung rückverfolgbar ist.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.2.title,trustItems.2.title,Név szerinti kapcsolattartási lánc és eszkalációs mátrix,Namentliche Kontaktkette und Eskalationsmatrix,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.2.body,trustItems.2.body,"Az értesítési sorrend, a kijelölt kapcsolattartók és a reagálási kiváltó pontok előre egyeztetve és helyszínenként dokumentálva vannak.","Benachrichtigungsreihenfolge, benannte Ansprechpartner und Reaktionsauslöser sind vorab abgestimmt und je Standort dokumentiert.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.3.title,trustItems.3.title,"Működési integráció biztonságtechnikával, őrzéssel és portaszolgálattal","Betriebliche Integration mit Sicherheitstechnik, Objektschutz und Pförtnerdienst",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.3.body,trustItems.3.body,"A távfelügyelet a helyszín kamerarendszerével, beléptetésével, élőerős őrzésével és portaszolgálatával együtt működik, hogy a jelzéskezelés és a reagálás egy működési modell szerint történjen.","Die Fernüberwachung arbeitet mit dem Kamerasystem, der Zutrittskontrolle, dem Objektschutz und dem Pförtnerdienst des Standorts zusammen, damit Meldungsbearbeitung und Reaktion nach einem Betriebsmodell erfolgen.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.4.title,trustItems.4.title,Eseményrögzítés és időszakos incidensriport,Ereigniserfassung und periodischer Vorfallbericht,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.4.body,trustItems.4.body,"Az ügyfél az egyeztetett gyakoriság szerint eseményriportot kap; az eseménynapló támogatja a téves jelzések, visszatérő események és fejlesztési pontok áttekintését.","Der Kunde erhält nach der vereinbarten Häufigkeit einen Ereignisbericht; das Ereignisprotokoll unterstützt die Auswertung von Fehlalarmen, wiederkehrenden Ereignissen und Verbesserungspunkten.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.5.title,trustItems.5.title,ISO 9001 és ISO 27001 irányítási rendszerek,Managementsysteme nach ISO 9001 und ISO 27001,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.trustItems.5.body,trustItems.5.body,"A távfelügyeleti működést az Avenir ISO 9001 és ISO 27001 tanúsított irányítási rendszerei támogatják, amennyiben ezek a folyamatok a tanúsított működési körbe tartoznak.","Der Fernüberwachungsbetrieb wird durch die nach ISO 9001 und ISO 27001 zertifizierten Managementsysteme von Avenir unterstützt, sofern diese Prozesse in den zertifizierten Geltungsbereich fallen.",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.faqEyebrow,faq.eyebrow,GYAKORI KÉRDÉSEK,HÄUFIGE FRAGEN,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.faqTitle,faq.title,Mit kérdeznek leggyakrabban,Was am häufigsten gefragt wird,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.0.q,faq.0.q,Mit jelent a távfelügyelet az Avenir szolgáltatásában?,Was bedeutet Fernüberwachung in der Leistung von Avenir?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.0.a,faq.0.a,"Az Avenir a csatlakoztatott helyszínekről érkező riasztási, behatolásjelzési, kamerához kapcsolódó vagy más biztonságtechnikai jelzéseket fogadja, ellenőrzi, naplózza és az egyeztetett protokoll szerint eszkalálja.","Avenir nimmt die von den aufgeschalteten Standorten eingehenden Alarm-, Einbruch-, kamerabezogenen oder sonstigen sicherheitstechnischen Meldungen entgegen, prüft und protokolliert sie und eskaliert sie nach dem vereinbarten Protokoll.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.1.q,faq.1.q,Mi a különbség a távfelügyelet és a vonulószolgálat között?,Was ist der Unterschied zwischen Fernüberwachung und Interventionsdienst?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.1.a,faq.1.a,"A távfelügyelet a jelzések fogadására és kezelésére fókuszál, míg a vonulószolgálat szerződéses feltételek alapján helyszíni reagálási folyamatot biztosíthat. A két működés együtt ad teljesebb jelzéskezelési és reagálási rendszert.","Die Fernüberwachung konzentriert sich auf die Entgegennahme und Bearbeitung der Meldungen, während der Interventionsdienst auf vertraglicher Grundlage einen Reaktionsprozess vor Ort sicherstellen kann. Zusammen ergeben beide ein vollständigeres Meldungs- und Reaktionssystem.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.2.q,faq.2.q,Milyen jelzések kezelhetők?,Welche Meldungen können bearbeitet werden?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.2.a,faq.2.a,"A folyamat kapcsolódhat behatolásjelzőhöz, riasztási eseményhez, kamerarendszerhez, beléptetési eseményhez, peremvédelmi jelzéshez vagy más biztonságtechnikai jelzéshez. A pontos jelzéstípusokat a helyszíni adottságok és a szerződéses igények alapján kell rögzíteni.","Der Prozess kann an Einbruchmeldeanlagen, Alarmereignisse, Kamerasysteme, Zutrittsereignisse, Perimeterschutz-Meldungen oder andere sicherheitstechnische Meldungen anschließen. Die genauen Meldungstypen sind auf Grundlage der Standortgegebenheiten und der vertraglichen Anforderungen festzulegen.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.3.q,faq.3.q,Hogyan történik a riasztás ellenőrzése az eszkaláció előtt?,Wie wird ein Alarm vor der Eskalation geprüft?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.3.a,faq.3.a,A verifikációs lépés a helyszíni protokollban kerül meghatározásra. Az Avenir a rendelkezésre álló jelzésforrások és az egyeztetett ellenőrzési szabály alapján vizsgálja a riasztást az eszkaláció előtt. A téves jelzések naplózhatók és visszanézhetők; a valós események a dokumentált kapcsolattartási és reagálási protokoll szerint kerülnek eszkalálásra. Minden lépés eseménynaplóban rögzül.,Der Verifikationsschritt wird im Standortprotokoll festgelegt. Avenir prüft den Alarm vor der Eskalation anhand der verfügbaren Meldungsquellen und der vereinbarten Prüfregel. Fehlalarme können protokolliert und nachträglich ausgewertet werden; reale Ereignisse werden nach dem dokumentierten Kontakt- und Reaktionsprotokoll eskaliert. Jeder Schritt wird im Ereignisprotokoll festgehalten.,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.4.q,faq.4.q,Rendelkezik az Avenir a távfelügyelethez és vonulószolgálathoz szükséges engedélyekkel?,Verfügt Avenir über die für Fernüberwachung und Interventionsdienst erforderlichen Genehmigungen?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.4.a,faq.4.a,Igen. A távfelügyelet és a vonulószolgálat az alkalmazandó magyar személy- és vagyonvédelmi szabályozási keret szerint történik. Az engedélyre és a szolgáltatási dokumentációra vonatkozó információk a szerződéses előkészítés során egyeztethetők.,Ja. Fernüberwachung und Interventionsdienst erfolgen nach dem anwendbaren ungarischen Regulierungsrahmen für Personen- und Vermögensschutz. Informationen zur Genehmigung und zur Leistungsdokumentation können im Rahmen der Vertragsvorbereitung abgestimmt werden.,legal_review_required
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.5.q,faq.5.q,Van garantált kiérkezési idő?,Gibt es eine garantierte Anfahrtszeit?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.5.a,faq.5.a,"A vonulószolgálati folyamatot a szerződéses feltételek, a helyszín, a technikai adottságok és a szolgáltatási terület alapján kell meghatározni. Emiatt a kiérkezési vagy reagálási szabályokat mindig az együttműködés elején érdemes pontosan rögzíteni.","Der Interventionsprozess ist auf Grundlage der Vertragsbedingungen, des Standorts, der technischen Gegebenheiten und des Einsatzgebiets festzulegen. Deshalb sollten die Anfahrts- bzw. Reaktionsregeln immer zu Beginn der Zusammenarbeit genau festgehalten werden.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.6.q,faq.6.q,Hogyan történik az eszkaláció?,Wie erfolgt die Eskalation?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.6.a,faq.6.a,"Az eszkaláció a helyszíni protokollban rögzített név szerinti kapcsolattartási lánc, értesítési sorrend és reagálási mátrix szerint történik. A protokoll határozza meg, mikor kell kijelölt kapcsolattartót, vonulószolgálatot vagy külső eszkalációs útvonalat bevonni.","Die Eskalation erfolgt nach der im Standortprotokoll festgehaltenen namentlichen Kontaktkette, Benachrichtigungsreihenfolge und Reaktionsmatrix. Das Protokoll legt fest, wann ein benannter Ansprechpartner, der Interventionsdienst oder ein externer Eskalationsweg einzubeziehen ist.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.7.q,faq.7.q,Kapunk eseményriportot?,Erhalten wir einen Ereignisbericht?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.7.a,faq.7.a,"Igen. Az ügyfél az egyeztetett gyakoriság szerint eseményriportot kap; a riport formátuma, gyakorisága és tartalma az együttműködés elején rögzíthető.","Ja. Der Kunde erhält nach der vereinbarten Häufigkeit einen Ereignisbericht; Format, Häufigkeit und Inhalt des Berichts können zu Beginn der Zusammenarbeit festgelegt werden.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.8.q,faq.8.q,Hogyan dokumentálhatók a riasztási jelzések és események?,Wie lassen sich Alarmmeldungen und Ereignisse dokumentieren?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.8.a,faq.8.a,"A jelzések időbélyegzett eseménynaplóban rögzíthetők: mikor érkezett a jelzés, milyen ellenőrzési lépés történt, milyen értesítési lánc indult el, történt-e eszkaláció, milyen intézkedés következett, és mi lett a lezárási státusz. A részleteket a helyszíni és szerződéses szabályok alapján kell meghatározni.","Die Meldungen können in einem Ereignisprotokoll mit Zeitstempel erfasst werden: wann die Meldung einging, welcher Prüfschritt erfolgte, welche Benachrichtigungskette anlief, ob eskaliert wurde, welche Maßnahme folgte und welcher Abschlussstatus vergeben wurde. Die Einzelheiten sind nach den Standort- und Vertragsregeln festzulegen.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.9.q,faq.9.q,Összekapcsolható a távfelügyelet a biztonságtechnikával?,Lässt sich die Fernüberwachung mit der Sicherheitstechnik verbinden?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.9.a,faq.9.a,"Igen. A távfelügyelet akkor működik jól, ha a kamerarendszer, behatolásjelző, beléptetés, objektumőrzés és portaszolgálat folyamatai összehangoltan támogatják egymást.","Ja. Die Fernüberwachung funktioniert dann gut, wenn sich Kamerasystem, Einbruchmeldeanlage, Zutrittskontrolle, Objektschutz und Pförtnerdienst in ihren Prozessen abgestimmt unterstützen.",translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.10.q,faq.10.q,Hogyan kezeljük az adatvédelmi szempontokat a távfelügyeleti működésben?,Wie werden Datenschutzaspekte im Fernüberwachungsbetrieb behandelt?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.10.a,faq.10.a,"A távfelügyeletben használt jelzések, kameraképek és beléptetési események kizárólag az egyeztetett távfelügyeleti cél szerint és az ügyfél adatvédelmi keretei alapján kezelhetők. A megőrzés, a hozzáférésnaplózás és az adatminimalizálás szabályai helyszínenként kerülnek meghatározásra. Az Avenir a folyamat technikai és működési oldalát támogatja; a jogalap és a végső adatvédelmi döntések az ügyfél és tanácsadói körében maradnak.","Die in der Fernüberwachung genutzten Meldungen, Kamerabilder und Zutrittsereignisse dürfen ausschließlich zum vereinbarten Fernüberwachungszweck und im Datenschutzrahmen des Kunden verarbeitet werden. Die Regeln für Speicherung, Zugriffsprotokollierung und Datenminimierung werden je Standort festgelegt. Avenir unterstützt die technische und betriebliche Seite des Prozesses; die Rechtsgrundlage und die abschließenden Datenschutzentscheidungen verbleiben beim Kunden und seinen Beratern.",legal_review_required
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.11.q,faq.11.q,Mikor érdemes helyszíni biztonsági felmérést kérni?,Wann ist eine Sicherheitsbegehung vor Ort sinnvoll?,translated_draft
tavfelugyelet-vonuloszolgalat:PILOT_HU.faq.11.a,faq.11.a,"Helyszíni biztonsági felmérés akkor hasznos, ha új riasztási vagy távfelügyeleti működést kell kialakítani, visszatérő jelzések vannak, változik a beléptetési rend, vagy a meglévő reagálási és eszkalációs folyamatokat szeretnék átláthatóbbá tenni.","Eine Sicherheitsbegehung vor Ort ist sinnvoll, wenn ein neuer Alarm- oder Fernüberwachungsbetrieb aufzubauen ist, wiederkehrende Meldungen auftreten, sich die Zutrittsordnung ändert oder die bestehenden Reaktions- und Eskalationsprozesse transparenter gestaltet werden sollen.",translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.relatedEyebrow,related.eyebrow,MÉG AZ AVENIRTŐL,WEITERES VON AVENIR,translated_draft
tavfelugyelet-vonuloszolgalat:hu.serviceDetail.relatedTitle,related.title,Kapcsolódó szolgáltatások,Verwandte Leistungen,translated_draft
tavfelugyelet-vonuloszolgalat:related.0.biztonsagtechnika.nameHu,related.0.title,Biztonságtechnika,Sicherheitstechnik,translated_draft
tavfelugyelet-vonuloszolgalat:related.0.biztonsagtechnika.shortDescHu,related.0.description,"Biztonságtechnika kamerarendszerhez, beléptetéshez és riasztási folyamatokhoz, helyszínre szabott biztonsági modellbe illesztve, adatvédelmi szempontokat beépítő technikai tervezéssel.","Sicherheitstechnik für Kamerasysteme, Zutrittskontrolle und Alarmprozesse, eingebettet in ein standortgerechtes Sicherheitsmodell, mit technischer Planung, die Datenschutzaspekte einbezieht.",translated_draft
tavfelugyelet-vonuloszolgalat:related.1.objektumorzes.nameHu,related.1.title,Élőerős objektumőrzés,Objektschutz vor Ort,translated_draft
tavfelugyelet-vonuloszolgalat:related.1.objektumorzes.shortDescHu,related.1.description,"Élőerős objektumőrzés beléptetéssel, járőrözéssel, incidenskezeléssel, szolgálati naplóval és egyeztetett eszkalációs renddel.","Objektschutz vor Ort mit Zutrittskontrolle, Kontrollgängen, Vorfallbearbeitung, Dienstbuch und abgestimmter Eskalationsordnung.",translated_draft
tavfelugyelet-vonuloszolgalat:related.2.portaszolgalat.nameHu,related.2.title,Recepciós és portaszolgálat,Empfangs- und Pförtnerdienst,translated_draft
tavfelugyelet-vonuloszolgalat:related.2.portaszolgalat.shortDescHu,related.2.description,"Recepciós és portaszolgálat látogatók, beszállítók, munkatársak, kulcsok, csomagok, naplózás és egyeztetett eszkaláció kezelésére.","Empfangs- und Pförtnerdienst für Besucher, Lieferanten, Mitarbeiter, Schlüssel, Pakete, Protokollierung und abgestimmte Eskalation.",translated_draft
tavfelugyelet-vonuloszolgalat:related.3.hard-fm.nameHu,related.3.title,Hard FM,Hard FM,translated_draft
tavfelugyelet-vonuloszolgalat:related.3.hard-fm.shortDescHu,related.3.description,"Hard FM tervezett megelőző karbantartással, reaktív hibakezeléssel, szakcéges koordinációval, dokumentált hibanaplóval és működési riportálással.","Hard FM mit geplanter vorbeugender Instandhaltung, reaktiver Störungsbearbeitung, Koordination von Fachfirmen, dokumentiertem Störungsprotokoll und betrieblichem Berichtswesen.",translated_draft
tavfelugyelet-vonuloszolgalat:serviceDetail.hero.cta,cta.hero,Ajánlatkérés,Angebot anfordern,translated_draft
tavfelugyelet-vonuloszolgalat:SERVICE_QUOTE_COPY.hu.button,cta.embedded.collapsedButton,Ajánlatkérés,Angebot anfordern,translated_draft
soft-fm:seoTitleHu,meta.title,Soft FM szolgáltatások vállalati helyszínekre | Avenir,Soft FM – Infrastrukturelles Gebäudemanagement | Avenir,translated_draft
soft-fm:seoDescriptionHu,meta.description,"Soft FM szolgáltatások takarítási koordinációval, zöldterület-gondozással, higiéniai folyamatokkal, operatív támogatással és riportálással.","Soft-FM-Leistungen mit Reinigungskoordination, Grünpflege, Hygieneprozessen, operativer Unterstützung und Berichtswesen.",translated_draft
soft-fm:nameHu,hero.h1,Soft FM,Soft FM – Infrastrukturelles Gebäudemanagement,translated_draft
soft-fm:valuePropositionHu,hero.subhead,"A Soft FM a helyszín napi működését támogató szolgáltatásokat fogja össze: takarítás, kertészet, higiénia, hulladékkezelési támogatás és szolgáltatói koordináció, egyeztetett scope-on, meghatározott minőségi szempontok szerint, rendszeres riportálási ritmusban.","Soft FM bündelt die Leistungen, die den täglichen Betrieb des Standorts unterstützen: Reinigung, Grünpflege, Hygiene, Unterstützung bei der Abfallentsorgung und Dienstleisterkoordination — mit vereinbartem Leistungsumfang, definierten Qualitätskriterien und regelmäßigem Berichtsrhythmus.",translated_draft
